Post_ID,Date,Day,Page,Time,Pillar_Code,Pillar_Name,Topic,Status,Assigned_To,Hook_Type,Archetype,Target_Persona,Notes
POST-001,2025-11-05,Wednesday,Personal,08:30 AM,P1,Tactical Education,5-step LinkedIn engagement framework,Planned,Agent 2,TBD,TBD,TBD,
POST-002,2025-11-05,Wednesday,Company,08:30 AM,P2,Industry Insights,B2B sales cycle trends analysis,Planned,Agent 2,TBD,TBD,TBD,
POST-003,2025-11-06,Thursday,Personal,09:00 AM,P3,Thought Leadership,Unpopular opinion: Daily posting overrated,Planned,Agent 2,TBD,TBD,TBD,
POST-004,2025-11-07,Friday,Company,09:00 AM,P4,Personal Stories,How I lost biggest client (lessons),Planned,Agent 2,TBD,TBD,TBD,
POST-005,2025-11-10,Monday,Personal,09:00 AM,P5,Customer Success,Client 3x'd revenue case study,Planned,Agent 2,TBD,TBD,TBD,
POST-006,2025-11-11,Tuesday,Personal,08:30 AM,P6,Community Building,What's your biggest challenge poll,Planned,Agent 2,TBD,TBD,TBD,
POST-007,2025-11-11,Tuesday,Company,08:30 AM,P7,Behind-the-Scenes,Team meeting insights,Planned,Agent 2,TBD,TBD,TBD,
POST-008,2025-11-12,Wednesday,Personal,08:30 AM,P1,Tactical Education,Email outreach template breakdown,Planned,Agent 2,TBD,TBD,TBD,
POST-009,2025-11-12,Wednesday,Company,08:30 AM,P2,Industry Insights,LinkedIn algorithm changes breakdown,Planned,Agent 2,TBD,TBD,TBD,
POST-010,2025-11-13,Thursday,Personal,09:00 AM,P3,Thought Leadership,Personal brand vs company brand debate,Planned,Agent 2,TBD,TBD,TBD,
POST-011,2025-11-14,Friday,Company,09:00 AM,P4,Personal Stories,From unemployed to business owner,Planned,Agent 2,TBD,TBD,TBD,
POST-012,2025-11-17,Monday,Personal,09:00 AM,P5,Customer Success,Customer churn reduction story,Planned,Agent 2,TBD,TBD,TBD,
POST-013,2025-11-18,Tuesday,Personal,08:30 AM,P6,Community Building,Tool recommendations thread,Planned,Agent 2,TBD,TBD,TBD,
POST-014,2025-11-18,Tuesday,Company,08:30 AM,P7,Behind-the-Scenes,Product development update,Planned,Agent 2,TBD,TBD,TBD,
POST-015,2025-11-19,Wednesday,Personal,08:30 AM,P1,Tactical Education,Cold calling script that converts,Planned,Agent 2,TBD,TBD,TBD,
POST-016,2025-11-19,Wednesday,Company,08:30 AM,P2,Industry Insights,Industry benchmark report,Planned,Agent 2,TBD,TBD,TBD,
POST-017,2025-11-20,Thursday,Personal,09:00 AM,P3,Thought Leadership,Cold email is dying thesis,Planned,Agent 2,TBD,TBD,TBD,
POST-018,2025-11-21,Friday,Company,09:00 AM,P4,Personal Stories,Burnout recovery story,Planned,Agent 2,TBD,TBD,TBD,
POST-019,2025-11-24,Monday,Personal,09:00 AM,P5,Customer Success,Pipeline growth transformation,Planned,Agent 2,TBD,TBD,TBD,
POST-020,2025-11-25,Tuesday,Personal,08:30 AM,P6,Community Building,Shoutout to creators,Planned,Agent 2,TBD,TBD,TBD,
POST-021,2025-11-25,Tuesday,Company,08:30 AM,P7,Behind-the-Scenes,Company culture moment,Planned,Agent 2,TBD,TBD,TBD,
POST-022,2025-11-26,Wednesday,Personal,08:30 AM,P1,Tactical Education,How to qualify leads in 3 questions,Planned,Agent 2,TBD,TBD,TBD,
POST-023,2025-11-26,Wednesday,Company,08:30 AM,P2,Industry Insights,AI impact on B2B sales,Planned,Agent 2,TBD,TBD,TBD,
POST-024,2025-11-27,Thursday,Personal,09:00 AM,P3,Thought Leadership,Hustle culture critique,Planned,Agent 2,TBD,TBD,TBD,
POST-025,2025-11-28,Friday,Company,09:00 AM,P4,Personal Stories,Hiring mistake confession,Planned,Agent 2,TBD,TBD,TBD,
POST-026,2025-12-01,Monday,Personal,09:00 AM,P5,Customer Success,Testimonial breakdown,Planned,Agent 2,TBD,TBD,TBD,
POST-027,2025-12-02,Tuesday,Personal,08:30 AM,P6,Community Building,Community resource list,Planned,Agent 2,TBD,TBD,TBD,
POST-028,2025-12-02,Tuesday,Company,08:30 AM,P7,Behind-the-Scenes,Behind-the-scenes process,Planned,Agent 2,TBD,TBD,TBD,
POST-029,2025-12-03,Wednesday,Personal,08:30 AM,P1,Tactical Education,Content creation workflow,Planned,Agent 2,TBD,TBD,TBD,
POST-030,2025-12-03,Wednesday,Company,08:30 AM,P2,Industry Insights,Remote work productivity data,Planned,Agent 2,TBD,TBD,TBD,
