Post_ID,Date,Page,Pillar,Topic,Target_Persona,Why_This_Persona,Business_Stage,Business_Goal,Hook_Type,Archetype,CTA,Media_Type,Media_Description,Character_Count
POST-001,2025-11-05,Personal,P1: Tactical Education,5-step engagement framework,"Marketer, Founder",Low engagement/need system,Awareness→Consideration,Build credibility,Numbered List,Tactical,What's your engagement rate?,None,Text-only pure value,1050
POST-002,2025-11-05,Company,P2: Industry Insights,B2B sales cycle trends,"C-Suite, Sales Leader",Need market intelligence,Awareness,Thought leadership,Shocking Stat,Data/Insight,Are cycles getting longer?,Bar chart (optional),2020 vs 2025 comparison,980
POST-003,2025-11-06,Personal,P3: Thought Leadership,Daily posting overrated,"Marketer, Founder",Feeling posting pressure,Awareness,Differentiate advice,Unpopular Opinion,Opinion,Do you post daily?,None,Controversy drives engagement,890
POST-004,2025-11-07,Company,P4: Personal Stories,Lost biggest client,"C-Suite, Sales, Marketer",Fear of client churn,Awareness→Trust,Build vulnerability/trust,Failure Story,Story,Ever lost client thought was safe?,None,Emotion drives connection,1120
POST-005,2025-11-10,Personal,P5: Customer Success,Client 3x'd revenue,"All personas",Need social proof,Consideration→Decision,Prove value delivery,Achievement Result,Tactical,Facing similar challenge?,None or client logo,Case study format,950
POST-006,2025-11-11,Personal,P6: Community Building,Biggest challenge poll,"All personas",Want to engage/help,Awareness,Strengthen network,Poll Question,Question,Vote + comment with yours,LinkedIn Poll,4 poll options provided,200
POST-007,2025-11-11,Company,P7: Behind-the-Scenes,Team meeting insights,Founder,Culture/transparency,Awareness,Humanize brand,Behind-Curtain,Story,How does your team handle this?,Photo (optional),Team meeting photo,850
POST-008,2025-11-12,Personal,P1: Tactical Education,Email template breakdown,"Sales, Marketer",Need outreach tactics,Consideration,Build expertise,Template Promise,Tactical,What's your reply rate?,Screenshot (optional),Email template visual,1080
POST-009,2025-11-12,Company,P2: Industry Insights,Algorithm changes,"Marketer, Founder",Algorithm confusion,Awareness,Position as expert,Trend Alert,Data/Insight,Seeing this in your reach?,Simple diagram,Algorithm flow visual,920
POST-010,2025-11-13,Personal,P3: Thought Leadership,Personal vs company brand,"Founder, C-Suite",Brand strategy confusion,Awareness,Challenge dogma,Contrarian,Opinion,Am I wrong?,None,Debate drives comments,1050
POST-011,2025-11-14,Company,P4: Personal Stories,Unemployed to business owner,Founder,Career transition pain,Awareness→Trust,Inspire/connect,Transformation,Story,Where were you 2 years ago?,None,Journey resonates,1100
POST-012,2025-11-17,Personal,P5: Customer Success,Churn reduction 15%→3%,"C-Suite, Sales",Churn is killing growth,Consideration→Decision,Prove retention expertise,Achievement Result,Data/Insight,What's your churn rate?,Chart (optional),Before/after visual,1000
POST-013,2025-11-18,Personal,P6: Community Building,Tool recommendations,"All personas",Need resources,Awareness,Build goodwill,Resource List,List,Which do you use?,None,Value-add list,920
POST-014,2025-11-18,Company,P7: Behind-the-Scenes,Product development update,Founder,Build-in-public interest,Awareness,Transparency,Real-Time Update,Story,What would you add?,Screenshot,Product screenshot,780
POST-015,2025-11-19,Personal,P1: Tactical Education,Cold calling script,Sales Leader,Cold call struggles,Consideration,Build sales expertise,Template Promise,Tactical,Still cold calling?,Script visual (optional),Call script breakdown,1150
POST-016,2025-11-19,Company,P2: Industry Insights,Industry benchmarks,"C-Suite, Marketer",Need competitive intel,Awareness,Establish authority,Data Analysis,Data/Insight,How do you compare?,Table/chart,Benchmark comparison,970
POST-017,2025-11-20,Personal,P3: Thought Leadership,Cold email dying,"Sales, Marketer",Questioning tactics,Awareness,Bold prediction,Bold Prediction,Opinion,Calling or emailing?,None,Controversial = comments,980
POST-018,2025-11-21,Company,P4: Personal Stories,Burnout recovery,"All personas",Burnout epidemic,Awareness→Trust,Vulnerability,Vulnerable Admission,Story,Can relate?,None,Mental health resonates,1050
POST-019,2025-11-24,Personal,P5: Customer Success,Pipeline 10→100 opps,"Sales, Marketer",Need pipeline growth,Consideration→Decision,Prove growth methods,Achievement Result,Tactical,What's your pipeline size?,Numbers visual,Pipeline growth chart,940
POST-020,2025-11-25,Personal,P6: Community Building,Creator shoutouts,"Marketer, Founder",Community building,Awareness,Build relationships,Shoutout,List,Who would you add?,Headshots (optional),5 creator profiles,650
POST-021,2025-11-25,Company,P7: Behind-the-Scenes,Company culture moment,"All personas",Culture attracts talent,Awareness,Employer brand,Values in Action,Story,How does your culture show?,Photo,Team culture photo,720
POST-022,2025-11-26,Personal,P1: Tactical Education,Qualify leads 3 questions,"Sales, Marketer",Wasting time on bad leads,Consideration,Build sales expertise,Framework,Tactical,What's your qualification process?,None,Simple framework,990
POST-023,2025-11-26,Company,P2: Industry Insights,AI impact B2B sales,"C-Suite, Sales",AI disruption anxiety,Awareness,Future insights,Trend Analysis,Data/Insight,How is AI affecting you?,AI visual (optional),AI impact breakdown,1020
POST-024,2025-11-27,Personal,P3: Thought Leadership,Hustle culture toxic,Founder,Burnout from hustle,Awareness,Challenge culture,Industry Critique,Opinion,Hustle or sustainable?,None,Polarizing = engagement,950
