Post ID,Hook Type,Hook Text,Content Category,Format Type,Estimated Engagement,Why It Worked,Psychological Trigger,Target Audience,Key Takeaway,Source
V001,Question,"Ever wondered why some content goes viral while others don't?",Educational,Text,High,Opens curiosity gap,Curiosity,Marketers,Hook creates knowledge gap that demands filling,Rally.Fan 2025
V002,Statistic,"Only 10% of startups make it past the first year. Here's why.",Insight,Text,High,Shocking stat + promise of explanation,Surprise + Authority,Entrepreneurs,Statistics grab attention when unexpected,Rally.Fan 2025
V003,Achievement,"Just reduced our carbon footprint by 20% in just one year. Here's how I did it:",Case Study,Text,Very High,Specific result + actionable promise,Social proof + Value,Sustainability leaders,Concrete numbers build credibility,Rally.Fan 2025
V004,Achievement,"My client just doubled their monthly recurring revenue. Here's how I helped them do it:",Case Study,Text,Very High,Quantified success + implementation promise,Aspiration + Value,SaaS founders,MRR doubling is aspirational for B2B,AuthoredUp 2025
V005,Controversial,"Forget everything you know about sales funnels because…",Opinion,Text,High,Challenges conventional wisdom,Controversy + Curiosity,Sales/Marketing pros,Pattern interruption gets attention,AuthoredUp 2025
V006,Personal Story,"I was today years old when I found out...",Story,Text,Medium-High,Relatable + humble admission,Relatability + Humor,General professional,Vulnerability creates connection,AuthoredUp 2025
V007,Bold Statement,"Here's the harsh truth about the gig economy that nobody talks about:",Opinion,Text,High,Promises contrarian insider info,Exclusivity + Truth-telling,Freelancers/contractors,Truth-claims cut through noise,AuthoredUp 2025
V008,Question,"Do you know the number one mistake most marketers make on LinkedIn?",Educational,Text,High,Targets specific pain point,Fear of missing out + Curiosity,LinkedIn marketers,Numbered claims create specificity,Letterdrop 2025
V009,Controversial,"I broke the 'golden rule' of venture capital. Here's what happened:",Story,Text,Very High,Rule-breaking + consequences revealed,Rebellion + Story arc,Startup founders,Breaking rules is inherently interesting,LinkedIn Native 2025
V010,Achievement,"This client tripled their leads in 30 days – using just one feature.",Case Study,Text,High,Dramatic result + simplicity angle,Simplification + Results,B2B marketers,Implies easy win is possible,LinkedIn Native 2025
V011,Statistic,"A staggering 90% of consumers say authenticity is key when deciding which brands they support.",Data Insight,Text,Medium-High,Large percentage validates trend,Authority + Trend validation,Brand marketers,Very high percentages feel authoritative,AuthoredUp 2025
V012,Question,"AI is reshaping industries faster than we can blink. Entrepreneurs what's your biggest fear and your greatest hope for AI in your sector?",Poll/Discussion,Interactive Poll,Very High,Timely topic + emotional duality + direct ask,Relevance + Engagement prompt,Entrepreneurs,Dual questions (fear/hope) drive comments,FemaleSwitch 2025
